AnimalID	SampleID	Age	Strain	Organ	Il1b	Tgfb1	Il1a	Il6	Il10	Ccl5	Hmgb1	Tnf	Cxcr3	Th	Dbh	Adrb2	Adrb1	Adra1a	Adra1b	Cacna1d	Gja1	Ace	Agt	Agtr1	Ren	Agtrap
8S-3	8S-AD-3	8	SHR	Adrenal	-4.87555683	-1.8715498	-3.69279292	-2.283278694	-3.124351338	-4.500822928	1.19263127	-3.80084513	-4.409893235	7.507981405	7.43999703	-4.145290703	0.17168383	1.809591325	-0.889822253	1.943387233	3.96118988	-0.609868113	1.90340888	2.291919745	-0.88038453	1.178057315
8S-4	8S-AD-4	8	SHR	Adrenal	0.073115415	0.397206765	0.979490385	0.400326293	0.132885218	-0.059966913	0.061832355	0.147860635	0.53781319	-2.72702476	-3.291379115	1.264287103	0.643620725	0	0.032963703	0.528060888	-0.697645705	0.199929053	0.317035505	-0.3882051	0.122502925	-0.06330038
8W-1	8W-Ad-1	8	WKY	Adrenal	-0.073115415	-0.397206765	-0.507731815	-0.327911738	0.276820268	0.173591448	-1.113576205	-0.147860635	-0.26869086	2.72702476	3.291379115	-0.289565478	0.047672286	-0.711525381	0.143680563	-1.703474743	-0.142200575	-0.425021248	-0.317035505	-0.43620578	3.790730395	-0.56657897
8W-2	8W-AD-2	8	WKY	Adrenal	0.544445344	0.838561675	0.507731815	-0.049897248	-0.336405033	0.059966913	-0.299601458	0.592663655	0.26869086	-4.17033963	-3.459646405	0.368605953	-0.510822995	-2.37973735	-0.057742418	-0.804174603	0.142200575	0.027567773	-0.660321525	-0.16275829	0.069734005	-0.05460068
8W-3	8W-AD-3	8	WKY	Adrenal	0.636476419	0.89019269	0.84711915	0.049897248	-0.132885218	0.474498395	-0.061832355	0.49828968	0.282890515	-4.001377745	-5.08896082	0.289565478	0	-0.783570475	0.642645388	-1.198695218	-0.15155434	0.139585818	-0.58641307	-0.069051975	3.18707633	0.016781615
8W-4	8W-AD-4	8	WKY	Adrenal	0.568002245	0.794553289	0.69852403	0.122255518	-0.196754978	0.283043988	-0.274272277	0.21281687	0.504680255	-4.080812595	-5.0934021	0.372943838	0.52442137	-1.163014185	-0.032963703	-0.528060888	-0.24489973	-0.000461613	-0.55368973	0.069051975	-0.26062835	-0.016781615
8S-1	8S-BS-1	8	SHR	Brainstem	0.44916056	1.530240155	-4.060365865	-6.812471535	0	0.683363225	1.380079219	0.02286573	0.159558985	3.782163407	3.867277759	-0.334429995	-0.253064446	-2.63633714	-4.437435175	0.59347072	2.672531152	-0.602803495	-8.413528654	0.365825035	-0.50484735	2.117067875
8S-2	8S-BS-2	8	SHR	Brainstem	1.13549879	0.505818635	-1.351961105	-0.113043763	0.33502372	1.131966625	0.437410899	1.4076405	1.361495085	-5.986415065	-4.075614725	1.420950695	2.265410115	2.63633714	-0.548290535	1.23341406	0.300537555	0.602803495	0.418000744	1.314548515	0.50484735	0.241787785
8S-3	8S-BS-3	8	SHR	Brainstem	1.71540632	-0.340401125	3.294952765	-0.285979583	-0.79588223	0.254806285	-0.65053794	-0.60099309	0.181922855	0.732902025	1.314424335	-1.095595145	-1.576692455	-3.38742133	0.548290535	-0.12034601	-0.252213955	-2.759567685	-0.418000744	0.894527635	-1.76382318	-0.241787785
8W-1	8W-BS-1	8	WKY	Brainstem	-1.7388631	0.340401125	-5.291724305	-1.362198295	4.42495313	-0.254806285	-1.18693265	-0.02286573	-0.159558985	2.037373577	2.958566715	-1.229381745	-0.466346634	-5.83569753	-2.824251565	0.12034601	-0.141870974	-1.375714035	-3.723050984	-0.365825035	-1.80067309	0.772417185
8W-2	8W-BS-2	8	WKY	Brainstem	-0.44916056	-1.206721255	1.351961105	1.362198295	-2.97432284	-4.028547105	-0.24330096	0.8313358	-3.025372885	-3.290729675	-3.177399735	0.625601835	-0.153433625	3.24034011	1.396349225	-0.15862652	0.069494895	0.631604565	0.875150182	-4.083145455	12.03556297	-0.544221305
8W-3	8W-BS-3	8	WKY	Brainstem	-1.88900014	-1.424804545	2.056095705	3.927877835	-0.261505555	-4.220978645	0.24330096	-0.27361347	-4.686743645	-0.732902025	-1.314424335	0.334429995	0.153433625	2.94054614	1.728453405	-0.56840818	-0.069494895	0.641871845	1.489752358	-4.115833415	11.38925268	-0.690857405
8S-1	8S-K-1	8	SHR	Kidney	-1.85585316	-1.24274516	3.50706204	0.84720923	-0.845423564	-3.86310995	1.437967439	0.48014064	-4.24376542	-2.727630043	-3.19332716	0.38658932	0	2.34500084	2.46739744	0	0	2.28213328	5.686411102	-3.22566764	11.72225111	0
8S-2	8S-K-2	8	SHR	Kidney	2.19435697	-0.18077073	2.92238838	0	0	0.54570369	-1.36731051	0.79094316	1.66253149	-4.190665683	-4.82967385	1.25556648	0.42813705	1.26355134	2.44106285	-2.09744501	-1.72943759	0	3.74370298	0	7.31337604	-1.13681485
8S-3	8S-K-3	8	SHR	Kidney	0.25039704	0.74695273	0	0.294486246	0.265322515	-0.02691613	1.12651202	0.9846465	-0.30822235	2.017388097	1.4826085	0.28583925	-0.798808113	0.81363376	1.0116691	0.18000395	1.90391499	0.32299445	-2.2033999	0.87108423	1.22685335	1.54384661
8S-4	8S-K-4	8	SHR	Kidney	1.65733228	0.70731285	-2.22893923	-5.91026732	-1.59927901	0.24739832	1.03030886	0	-0.58283894	0.892381727	0.77541896	0	1.13453369	0	0	-0.27431445	1.901328604	1.00242586	-0.01277165	0.93378268	-1.93276825	1.14182468
8W-1	8W-K-1	8	WKY	Kidney	0	0	-0.437191961	-0.33515993	-3.07426453	0.04678049	0	-0.41169914	0.72650125	0.401576216	0	-1.36733156	-5.76624143	-2.90765809	-1.02438441	0.01772819	0.690614713	-0.56994549	-0.40605009	-0.09257833	0	0.05605353
8W-2	8W-K-2	8	WKY	Kidney	-0.81425769	0.76001947	-0.689424321	0.645621675	1.93839027	-0.02691613	-0.72838502	-1.10050801	0.58222695	-0.444183803	0.09755895	-1.66121346	-0.345728161	-2.03045695	-4.44627949	-0.24165342	-0.66803298	-1.55467703	0	-0.25967187	-2.42364349	-0.59066304
8W-3	8W-K-3	8	WKY	Kidney	-0.7725719	-0.29137162	-4.45160451	-0.63878877	2.2933201	0	-0.103698903	-1.89210798	0	0	-0.02699102	-0.84229309	-2.44642849	-2.23957911	-3.35423093	0	-0.194500321	-0.91676763	0.33664497	0.28886058	-2.86205339	-0.65008432
8S-1	8S-LI-1	8	SHR	Liver	-0.54196954	-0.88066453	0.773725055	0.539245793	-2.718706208	-2.340057335	0.057656084	-0.98718222	-3.732131868	8.12394813	4.457731838	-0.04562593	-1.86374743	0.4656838	0.820099558	0.749041265	3.320600512	-0.095632228	2.820266736	-2.089621865	4.436650958	-1.84294187
